#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 308000      1.16e-01      7.15e-03      4.40e-03    6.7e-04
 310000      9.60e-01      2.35e-03      3.71e-02    6.7e-04
 312000      7.48e-01      4.61e-02      2.85e-02    6.7e-04
 314000      3.20e-01      6.88e-02      8.76e-03    6.7e-04
 316000      7.68e-01      7.26e-03      2.97e-02    6.7e-04
 318000      3.25e-02      2.03e-04      1.25e-03    6.7e-04
 320000      3.43e-01      1.22e-02      1.35e-02    6.3e-04
 322000      1.12e-01      2.29e-03      4.44e-03    6.3e-04
 324000      1.72e-01      2.68e-03      6.84e-03    6.3e-04
 326000      1.26e-01      1.15e-02      4.48e-03    6.3e-04
 328000      6.31e-01      1.61e-02      2.50e-02    6.3e-04
 330000      4.74e-01      1.24e-02      1.88e-02    6.3e-04
 332000      3.64e-01      1.17e-02      1.43e-02    6.3e-04
 334000      2.80e-01      1.45e-02      1.08e-02    6.3e-04
 336000      2.47e-01      6.15e-02      5.00e-03    6.3e-04
 338000      7.78e-01      9.41e-03      3.10e-02    6.3e-04
 340000      6.35e-02      6.84e-03      2.15e-03    6.3e-04
 342000      3.82e-01      2.35e-02      1.49e-02    6.3e-04
 344000      9.73e-02      1.91e-02      1.03e-03    6.3e-04
 346000      5.12e-01      6.57e-03      2.04e-02    6.3e-04
 348000      8.05e-01      3.59e-02      3.13e-02    6.3e-04
 350000      6.83e-01      4.63e-02      2.56e-02    6.3e-04
 352000      1.57e+00      8.42e-03      6.25e-02    6.3e-04
 354000      1.96e-01      1.93e-02      7.32e-03    6.3e-04
 356000      6.43e-01      5.57e-03      2.56e-02    6.3e-04
 358000      2.99e-01      6.08e-02      1.25e-03    6.3e-04
 360000      3.31e-01      1.52e-02      1.32e-02    6.0e-04
 362000      2.23e-01      1.34e-02      8.70e-03    6.0e-04
 364000      7.92e-02      1.82e-02      1.79e-03    6.0e-04
 366000      4.80e-01      6.85e-03      1.96e-02    6.0e-04
 368000      8.60e-01      7.27e-03      3.52e-02    6.0e-04
 370000      5.45e-02      2.36e-03      2.18e-03    6.0e-04
 372000      5.24e-01      1.31e-01      9.02e-03    6.0e-04
 374000      1.09e-01      6.62e-03      4.35e-03    6.0e-04
 376000      6.62e-02      5.15e-03      2.49e-03    6.0e-04
 378000      8.35e-01      1.53e-02      3.41e-02    6.0e-04
 380000      2.59e-01      5.57e-02      6.67e-03    6.0e-04
 382000      1.54e-01      2.05e-02      5.51e-03    6.0e-04
 384000      9.96e-01      1.33e-02      4.08e-02    6.0e-04
 386000      4.19e-01      1.57e-03      1.72e-02    6.0e-04
 388000      1.04e-01      3.39e-03      4.23e-03    6.0e-04
 390000      3.53e-01      1.59e-02      1.43e-02    6.0e-04
 392000      6.32e-01      1.16e-01      8.94e-03    6.0e-04
 394000      3.85e-01      1.60e-02      1.56e-02    6.0e-04
 396000      3.47e-01      4.80e-03      1.42e-02    6.0e-04
 398000      5.08e-02      5.83e-03      1.68e-03    6.0e-04
 400000      6.25e-01      6.52e-03      2.63e-02    5.6e-04
 402000      6.03e-01      4.30e-04      2.54e-02    5.6e-04
 404000      6.72e-01      1.34e-02      2.83e-02    5.6e-04
 406000      5.25e-01      1.19e-02      2.20e-02    5.6e-04
 408000      4.82e-01      5.88e-02      1.81e-02    5.6e-04
 410000      9.53e-01      6.04e-03      4.02e-02    5.6e-04
 412000      6.68e-01      2.07e-02      2.80e-02    5.6e-04
 414000      1.65e-01      6.98e-03      6.85e-03    5.6e-04
 416000      1.17e-01      4.08e-03      4.90e-03    5.6e-04
 418000      7.57e-01      8.51e-03      3.19e-02    5.6e-04
 420000      1.51e-01      4.20e-03      6.29e-03    5.6e-04
 422000      9.95e-01      8.02e-03      4.19e-02    5.6e-04
 424000      6.42e-02      6.25e-03      2.31e-03    5.6e-04
 426000      1.49e-01      2.02e-02      4.36e-03    5.6e-04
 428000      9.64e-01      4.35e-03      4.06e-02    5.6e-04
 430000      7.78e-01      1.45e-01      2.61e-02    5.6e-04
 432000      1.11e-01      7.99e-03      4.51e-03    5.6e-04
 434000      8.03e-02      7.51e-03      3.17e-03    5.6e-04
 436000      2.17e-01      2.99e-02      6.20e-03    5.6e-04
 438000      4.45e-02      5.89e-03      1.63e-03    5.6e-04
 440000      1.17e-01      6.87e-03      4.95e-03    5.3e-04
 442000      1.19e-01      1.50e-02      4.50e-03    5.3e-04
 444000      4.18e-01      8.99e-02      9.89e-03    5.3e-04
 446000      6.33e-01      3.57e-03      2.75e-02    5.3e-04
 448000      8.22e-02      6.61e-03      3.20e-03    5.3e-04
 450000      1.73e-01      1.48e-02      7.05e-03    5.3e-04
 452000      6.15e-01      3.02e-02      2.57e-02    5.3e-04
 454000      7.56e-02      2.89e-03      3.24e-03    5.3e-04
 456000      1.64e-01      2.91e-02      1.45e-03    5.3e-04
 458000      1.24e+00      4.31e-02      5.33e-02    5.3e-04
 460000      7.34e-01      6.90e-03      3.18e-02    5.3e-04
 462000      7.34e-01      5.41e-03      3.18e-02    5.3e-04
 464000      1.19e-01      2.30e-02      3.37e-03    5.3e-04
 466000      2.36e+00      8.80e-02      1.01e-01    5.3e-04
 468000      7.34e-01      2.79e-03      3.18e-02    5.3e-04
 470000      9.50e-01      1.07e-01      3.70e-02    5.3e-04
 472000      8.06e-02      1.32e-02      2.69e-03    5.3e-04
 474000      1.24e-01      1.72e-03      5.35e-03    5.3e-04
 476000      2.01e-01      3.26e-02      3.92e-03    5.3e-04
 478000      7.31e-01      1.24e-03      3.17e-02    5.3e-04
 480000      6.18e-01      3.17e-04      2.76e-02    5.0e-04
 482000      9.48e-02      1.62e-03      4.22e-03    5.0e-04
 484000      3.47e-01      4.98e-03      1.55e-02    5.0e-04
 486000      1.18e-01      1.97e-03      5.26e-03    5.0e-04
 488000      8.76e-02      1.51e-03      3.90e-03    5.0e-04
 490000      4.93e-02      2.35e-03      2.12e-03    5.0e-04
 492000      6.21e-01      9.64e-03      2.77e-02    5.0e-04
 494000      1.22e-01      6.21e-04      5.46e-03    5.0e-04
 496000      7.30e-01      2.57e-02      3.19e-02    5.0e-04
 498000      7.85e-02      5.42e-03      3.22e-03    5.0e-04
 500000      2.11e-02      1.10e-03      9.01e-04    5.0e-04
 502000      6.57e-02      5.90e-03      2.74e-03    5.0e-04
 504000      3.82e-01      1.32e-02      1.69e-02    5.0e-04
 506000      2.56e-01      3.23e-02      9.86e-03    5.0e-04
 508000      8.83e-02      3.48e-03      3.89e-03    5.0e-04
 510000      2.93e-01      3.73e-03      1.30e-02    5.0e-04
 512000      8.62e-01      1.73e-03      3.85e-02    5.0e-04
 514000      1.37e-01      2.28e-03      6.09e-03    5.0e-04
